CODIGO	Aceros
26026	CHATARRA DE TARJETA ELECTRONICA TABLON MACHO
26027	CHATARRA DE TARJETA ELECTRONICA TABLON MACHO DESPOBLADO
26028	CHATARRA ELECTRONICA PROCESADOR PEQUEÑO CON PINES
26029	CHATARRA ELECTRONICA DE TARJETA DE DISCO DURO
26030	CHATARRA ELECTRONICA DE MEMORIA RAM DORADO
26031	CHATARRA ELECTRONICA DE MEMORIA RAM PLATEADA
26032	CHATARRA ELECTRONICA DE TARJETA DE CELULAR SMARTPHONES
26033	CHATARRA ELECTRONICA DE TARJETA DE CELULAR CHINOS
26034	CHATARRA ELECTRONICA DE TARJETA DE CELULAR ANTIGUOS
26035	CHATARRA ELECTRONICA PROCESADOR PASTA CON BLINDAJE
26036	CHATARRA ELECTRONICA PROCESADOR PASTA SIN BLINDAJE
26037	CHATARRA DE TARJETA ELECTRONICA PENTIUM 4 C VERDE AMARILLA
26038	CHATARRA DE TARJETA ELECTRONICA PENTIUM 4 C COLORES
26039	CHATARRA DE TARJETA ELECTRONICA PENTIUM 4 TRES TORNILLOS
26041	CHATARRA ELECTRONICA DE TARJETA DE MODEM B
26042	CHATARRA DE TARJETA ELECTONICA FLEXIBLE
26043	CHATARRA ELECTRONICA DE TARJETA DE TABLE
26044	CHATARRA ELECTRONICA DE TARJETA DE CONTROL TV
26047	CHATARRA ELECTRONICA PINES DORADOS FINOS
26049	CHATARRA ELECTRONICA CD
26052	"CHATARRA ELECTRONICA SLOT
"
26053	"Ram modem (wifi)
"
26055	CHATARRA ELECTRONICA PROCESADOR PLASTICO NEGRO
26056	CHATARRA ELECTRONICA PROCESADOR CERAMICO ALUMINIO
26057	CHATARRA ELECTRONICA PROCESADOR CERAMICO
26058	CHATARRA ELECTRONICA DISCO DURO ENTERO
26059	CHATARRA ELECTRONICA DISCO DURO SIN TARJETA
26060	CHATARRA ELECTRONICA FUENTE DE PODER CON CABLE
26061	CHATARRA ELECTRONICA DE TABLE ENTERA
26062	CHATARRA ELECTRONICA DE CELULAR ENTERO
26063	CHATARRA ELECTRONICA DE PORTATIL ENTERO
26064	CHATARRA ELCTRONICA DE RADIOGRAFIA
26066	CHATARRA ELECTRONICA DE CELULAR ENTERO TACTIL
26067	BATERIA PORTATIL
26068	BATERIAL CELULAR
26069	CHATARRA DE TARJETA ELECTRONICA LINGOTE DORADO COBRE
26070	CHATARRA DE TARJETA ELECTRONICA LINGOTE DORADO/ PLATA
26071	CHATARRA DE TARJETA ELECTRONICA LINGOTE DORADO / PLATA OPACO
26073	CHATARRA ELECTRONICA DE TARJETA DE DECODIFICADOR BUENO
26075	CHATARRA ELECTRONICA DE TARJETA DE DECODIFICADOR MALO
26076	CHATARRA ELECTRONICA PROCESADOR CERAMICO CENTRO DORADO
26077	CHATARRA DE TARJETA ELECTRONICA TABLON HEMBRA
26078	CHATARRA ELECTRONICA FUENTE DE PODER SIN CABLE
26079	CHATARRA DE TARJETA ELECTRONICA TIPO 2 MIXTO 1 BANDERA 
26080	CHATARRA DE TARJETA ELECTRONICA TIPO 2 BANDERA
26081	CHATARRA DE TARJETA ELECTRONICA MODEM BANDERA
26082	CHATARRA ELECTRONICA DE PORTATIL INCOMPLETO
26083	CHATARRA ELECTRONICA DE TARJETA DE PORTATIL CON BANDERA
26091	CHATARRA ELECTRONICA DE CELULAR ENTERO CHINO
26092	CHATARRA DE TARJETA ELETRONICA DE CELULAR TACTIL
26093	CHATARRA DE TARJETA ELECTRONICA TIPO 2
26100	CHATARRA DE TARJETA ELECTRONICA TIPO 2 PLUS
26105	CHATARRA ELECTRONICA DE MEMORIA RAM DOS CARAS
26108	CHATARRA ELECTRONICA DE BATERIA LITIO
26109	CHATARRA ELECTRONICA DE CELULAR ENTERO CHINO 
26110	CHATARRA ELECTRONICA DE TARJETA DE CELULAR BLACKBERRY
26112	CHATARRA DE EQUIPOS ELECTRICOS Y ELECTRONICOS
26121	TRITURADO ESPECIAL 
16004	CHATARRA ELECTRONICA

CODIGO	CHATARRA DE HIERRO
16002	CHATARRA CORRIENTE 720430
16003	CHATARRA MIXTA 
21001	BASURA
21004	CAUCHO
21005	MERMA QUEMADA
21009	ACEITE
21015	ARENA DEL ALUM BLANDO
23002	UNIDADES DE REFRIGERACION
25001	ARCHIVO
11025	CHATARRA DE ALUMINIO GALILLO
